title_name,title_english,url,score_label,description,episodes,aired,premiered,genres
Dance in the Vampire Bund: Special Edition,,https://myanimelist.net/anime/8211/Dance_in_the_Vampire_Bund__Special_Edition,6.53,A Dance in the Vampire Bund recap episode featuring re-edited footage from the first 7 episodes.,1,"Feb 25, 2010",,"['Action', 'Supernatural', 'Vampire']"
Digimon Savers: Agumon! Gaomon! Lalamon! Bakuretsu! Jougai Last Battle!,,https://myanimelist.net/anime/4712/Digimon_Savers__Agumon_Gaomon_Lalamon_Bakuretsu_Jougai_Last_Battle,6.53,"A recap of the whole Digimon Savers TV series in one episode, with original commentary by Agumon, Gaomon, and Lalamon, included in the final volume of the DVD releases.",1,"Aug 24, 2007",,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Supernatural']"
Doraemon and Itchy the Stray,,https://myanimelist.net/anime/2629/Doraemon_and_Itchy_the_Stray,6.53,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1,"Jan 2, 1987",,"['Comedy', 'Sci-Fi', 'Kids', 'Shounen']"
Entotsu Machi no Poupelle,Poupelle of Chimney Town,https://myanimelist.net/anime/35609/Entotsu_Machi_no_Poupelle,6.53,"On Halloween night, a young chimney sweep named Lubicchi befriends a man magically conjured out of garbage. Giving him the name Poupelle, Lubicchi is able to recreate a bond he lost when his father died to the tyranny of the Inquisitors—an oppressive force that aims to suppress outside knowledge and the town's true history. But their newfound relationship soon captures a lot of attention, and the threat of the Inquisitors and even the criticism of a few townspeople will test the duo's friendship. In spite of this, Poupelle has struck a particular chord with Lubicchi, and the two conspire to bring the truth to the surface and clear the chimney smoke that clouds the town's skies.

[Written by MAL Rewrite]",1,"Dec 25, 2020",,"['Adventure', 'Fantasy']"
Extreme Hearts,,https://myanimelist.net/anime/50999/Extreme_Hearts,6.53,"Hiyori Hayama is an aspiring singer who moved to Tokyo to make her debut. She has always loved singing and hopes to stand on stage like her favorite artist. Unfortunately, the entertainment industry is not all fun and games, as she fails her auditions one after another and struggles to sell her songs.

Finding herself still standing at the start line, Hiyori pursues her only opportunity to take the next step forward—partaking in Extreme Hearts. The popular event is a Hyper Sports tournament where participants compete in various sports using ability-enhancing gear for a chance to make their big break. Despite being athletic, however, Hiyori's lack of familiarity with Hyper Sports poses a problem for her. Fortunately, she befriends girls experienced in different sports, and they join the tournament alongside Hiyori, hoping to see her rise to the top.

Now playing under Team RISE, Hiyori and her teammates learn about the unspoken rule of Extreme Hearts—all competitors must be entertainers or aspire to be one. For the members of Team RISE, facing the competition head-on is an inspiring endeavor that paves the way to discovering newfound interests and everlasting friendships.

[Written by MAL Rewrite]",12,"Jul 10, 2022 to Sep 25, 2022",Summer 2022,"['Sci-Fi', 'Sports', 'Idols (Female)', 'Music', 'Team Sports']"
Future Card Buddyfight Triple D,,https://myanimelist.net/anime/32785/Future_Card_Buddyfight_Triple_D,6.54,Third season of Future Card Buddyfight.,51,"Apr 2, 2016 to Mar 25, 2017",Spring 2016,['Strategy Game']
Ganbare Douki-chan,,https://myanimelist.net/anime/49605/Ganbare_Douki-chan,6.53,"Douki-chan is a respectable office worker with one goal: to seduce her coworker Douki-kun. Unfortunately, this proves to be easier said than done, as her plans are constantly thwarted by Kouhai-chan and Senpai-san—her two love rivals who will stop at nothing to gain the affection of their beloved colleague first. Douki-chan will need all the luck she can get to surpass her competition and win Douki-kun's heart.

[Written by MAL Rewrite]",12,"Sep 20, 2021 to Dec 6, 2021",,"['Comedy', 'Ecchi', 'Adult Cast', 'Romantic Subtext', 'Workplace']"
Ginga Tetsudou 999: Eternal Fantasy,Galaxy Express 999: Eternal Fantasy,https://myanimelist.net/anime/3602/Ginga_Tetsudou_999__Eternal_Fantasy,6.53,"Based on the story by manga master Leiji Matsumoto (The Cockpit, Queen Emeraldas), the 55 minute featurette picks up one year after the events of Galaxy Express 999 in which a young boy named Tetsuro and his motherly companion Maetel worked to rid the universe on the Mechanized Empire who had taken over Earth.

(Source: AniDB)",1,"Mar 7, 1998",,"['Action', 'Drama', 'Sci-Fi', 'Space']"
Godzilla 2: Kessen Kidou Zoushoku Toshi,Godzilla: City on the Edge of Battle,https://myanimelist.net/anime/36816/Godzilla_2__Kessen_Kidou_Zoushoku_Toshi,6.53,"By the advent of the 21st century, much of humanity was dead, having been trampled over by a new master, Godzilla. A select few among mankind took to the stars in a spacefaring vessel called the Aratrum in search of ""the promised land,"" the planet Tau-e that could sustain human life. But the migration plan fails, and the remnants of the human race decide to return to Earth. But the distortions in space-time and the distance traveled means that mankind is returning to a completely changed Earth some 20,000 years later. The returnees, led by hero Haruo, prepare to take the fight to Godzilla based on a strategy that has been 20 years in the making. Carried out with the help of two alien species, the Exif and the Bilusaludo, the humans succeed in defeating Godzilla in a costly battle to the death.

But the victory is short-lived. Rising from the depths of the planet is a new breed of monster, dubbed ""Godzilla Earth."" Evolving for 20,000 years, the creature stands 300 meters high, weighs over 100,000 tons and wields such overwhelmingly destructive power that Haruo and company have no choice but to run for their lives.

Coming to Haruo's rescue, however, is Miana, a member of an aboriginal tribe called the Houtua. They are the first humanoid people the returnees have encountered. Could they descend from humans? ""Our tribal god was destroyed by Godzilla. All that we have left are these eggs. Anyone who has tried to fight or resist him has been drowned in fire,"" the tribespeople say to Haruo, who responds with: ""This is our last hope of recovering our home.""

Meanwhile, Bilusaludo commander, Galu-gu is elated to discover that the Houtua tribe's arrowheads are made of a nanometal or a self-sustaining metal. It had been developed in the 21st century as an ""anti-Godzilla"" killer weapon deployed at their decisive battle fought at the foot of Mt. Fuji, but had been destroyed before it could be activated in the form of a ""Mecha-Godzilla."" The nanometal was its base substance, and proof that the manufacturing plant can still be used.

(Source: Official site)",1,"May 18, 2018",,"['Action', 'Adventure', 'Sci-Fi']"
Granblue Fantasy The Animation Season 2 Extras,,https://myanimelist.net/anime/40873/Granblue_Fantasy_The_Animation_Season_2_Extras,6.52,"Mou Hitotsu no Tabiji (Another Journey)
Djeeta and the crew head to an ancient castle after hearing rumors about the Wish Egg, a fairy tale treasure said to grant any wish.
They each contemplate what to wish for as they move through the castle and overcome trial after trial to reach the treasure.
Along the way, they meet a girl also in search of the Egg, and they decide to take on the challenges together.

Kourin! Cypher Mask! / Sei Albion Onna Gakuen Monogatari
The Masked Cypher Descends!
Far away on a remote island, Gran steps into the ring for an exhibition match of ritual proportion. Once a year, top fighters from around the island must gather together for a duel to appease the gods, and anything less than victory could spell grave disaster for the locals.After grinding through some grueling training to master the art of wrestling, Gran enters his match as the mysterious masked fighter, the Masked Cypher.

A Tale of St. Albion Girls' Academy
Djeeta is just an ordinary student at St. Albion Girls' Academy, who one day, while spending some time in the animal shed, finds herself smitten with her upper classman.
That upperclassman's name is Katalina, who is renowned for both her wit and beauty. Even as Djeeta shrinks back from Katalina's majesty, the two gradually grow closer.
Unbeknownst to them, however, not everyone is excited for their newfound affection.

(Source: Official Site)",2,"Mar 28, 2020 to Aug 26, 2020",,"['Adventure', 'Fantasy']"
