title_name,title_english,url,score_label,description,episodes,aired,premiered,genres
Chikyuu Bouei Kigyou Dai-Guard,Dai-Guard: Terrestrial Defense Corp.,https://myanimelist.net/anime/1312/Chikyuu_Bouei_Kigyou_Dai-Guard,7.14,"Thirteen years after their sudden disappearance, an alien race known as the Heterodyne resurface without warning. To combat the Heterodyne, three office workers from the 21st Century Security Corporation operate Dai-Guard - a giant robot no longer regarded as an oversized paperweight. Unfortunately, Dai-Guard is somewhat obsolete and in disrepair. It's a tough job, but salarymen can also save the world. 

(Source: ANN)",26,"Oct 5, 1999 to Mar 28, 2000",Fall 1999,"['Adventure', 'Comedy', 'Sci-Fi', 'Mecha', 'Military']"
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,,https://myanimelist.net/anime/8364/Crayon_Shin-chan_Movie_12__Arashi_wo_Yobu_Yuuhi_no_Kasukabe_Boys,7.14,"A fantasy action set in a world of Western films. One day the Nohara family, Kasukabe Defense Forces (Shinnosuke Nohara and his mates: Kazama-kun, Nene-chan, Masao-kun and Bo-chan), and other people living in Kasukabe City get lost in a world within a Wild West film, which is a city ruled by an evil governor named Justice. The time progression has been stopped there because the film is unfinished but people are losing their memories about the past little by little. To go back to their former world, the Kasukabe Defense Forces tries to defeat Governor Justice and finish the film before everyone loses their memories. 

(Source: Manabu Tsuribe)",1,"Apr 17, 2004",,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Historical', 'Seinen']"
Dantalian no Shoka: Ibarahime,The Mystic Archives of Dantalian: Ibarahime,https://myanimelist.net/anime/12879/Dantalian_no_Shoka__Ibarahime,7.14,"""Huey"" Anthony Disward and Dalian trek to the land owned by Sergeant Callavos, where it is rumored that a Phantom Book may be located. With the help of a local herbalist named Thalia, the two reach a remote village and begin to confirm relevant information to their investigation. Although it has been reported that Callavos perished alongside his family in a gruesome fire six months prior, his daughter Florence has been sighted in a nearby forest—and is suspected of causing the blaze. To verify these allegations once and for all, Huey and Dalian travel to the lord's manor, only to uncover the truth behind a thorny past.

[Written by MAL Rewrite]",1,"Aug 9, 2012",,"['Action', 'Mystery', 'Detective', 'Historical']"
Deadman Wonderland,,https://myanimelist.net/anime/6880/Deadman_Wonderland,7.14,"It looked like it would be a normal day for Ganta Igarashi and his classmates—they were preparing to go on a class field trip to a certain prison amusement park called Deadman Wonderland, where the convicts perform dangerous acts for the onlookers' amusement. However, Ganta's life is quickly turned upside down when his whole class gets massacred by a mysterious man in red. Framed for the incident and sentenced to death, Ganta is sent to the very jail he was supposed to visit. 

But Ganta's nightmare is only just beginning. 

The young protagonist is thrown into a world of sadistic inmates and enigmatic powers, to live in constant fear of the lethal collar placed around his neck that is slowed only by winning in the prison's deathly games. Ganta must bet his life to survive in a ruthless place where it isn't always easy to tell friend from foe, all while trying to find the mysterious ""Red Man"" and clear his name, in Deadman Wonderland.

[Written by MAL Rewrite]",12,"Apr 17, 2011 to Jul 3, 2011",Spring 2011,"['Action', 'Horror', 'Sci-Fi', 'Supernatural', 'Gore', 'High Stakes Game', 'Survival', 'Shounen']"
Doraemon Movie 05: Nobita no Makai Daibouken,Doraemon the Movie: Nobita's Great Adventure into the Underworld,https://myanimelist.net/anime/2672/Doraemon_Movie_05__Nobita_no_Makai_Daibouken,7.14,"Having dreamed of being in a world of magic, Nobita and Doraemon used the what-if-telephone-booth gadget to turn the world into one that is based on magic instead of science. Little did they know that demons exist and threaten this magical world.

(Source: ANN)",1,"Mar 17, 1984",,['Fantasy']
Doraemon Movie 10: Nobita no Nippon Tanjou,Doraemon the Movie: Nobita and the Birth of Japan,https://myanimelist.net/anime/2666/Doraemon_Movie_10__Nobita_no_Nippon_Tanjou,7.14,"Nobita wants to run away from home, again. He finds out that there is nowhere for him to go. All the land is owned by someone. His friends end up wanting to run away also, even Doraemon. They figure out that the only way to find land that isn't owned by anyone is to go back in time to when no humans existed. They end up helping a prehistoric boy rescue his tribe from Gigazombie.",1,"Mar 11, 1989",,"['Adventure', 'Comedy', 'Fantasy', 'Time Travel', 'Kids', 'Shounen']"
Doraemon Movie 13: Nobita to Kumo no Oukoku,Doraemon the Movie: Nobita and the Kingdom of Clouds,https://myanimelist.net/anime/2661/Doraemon_Movie_13__Nobita_to_Kumo_no_Oukoku,7.14,"During class, Nobita questions the teacher where heaven is located when he was being taught about clouds. Being laughed at, Nobita looks for proof that a heavenly place exists on the clouds, but was explained by Doraemon that it cannot exist scientifically. Disappointed, he was eventually helped by Doraemon to create their own kingdom of clouds. Little did they know that there are creatures who have been living on clouds for a long time. 

(Source: ANN)",1,"Mar 7, 1992",,"['Adventure', 'Comedy']"
"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer","Elfen Lied: In the Passing Rain, or, How Can a Girl Have Reached Such Feelings?",https://myanimelist.net/anime/376/Elfen_Lied__Tooriame_nite_Arui_wa_Shoujo_wa_Ikani_Shite_Sono_Shinjou_ni_Itatta_ka_-_Regenschauer,7.14,"Having been accepted into the Kaede Inn, Nana struggles to find some way to contribute, though she inadvertently brings more trouble than assistance. However, Nana's worries are directed more towards fellow resident Nyu, whom she had only known as Lucy, the violent Diclonius. Fearful that Nyu will unleash the same horrific savagery—violence that scars Nana to this day—upon those close to her, Nana faces a dilemma: attempt to live peacefully alongside Lucy with all the uncertainty that that entails or dispose of the source of her worries, shattering the relationships she has formed at the inn. As Nana struggles to come to a decision, Nyu recalls a painful memory of one of her dearest friends and one of her greatest rivals.

[Written by MAL Rewrite]",1,"Apr 21, 2005",,"['Drama', 'Horror', 'Supernatural', 'Ecchi', 'Gore', 'Psychological', 'Seinen']"
Fairy Tail x Rave,,https://myanimelist.net/anime/18393/Fairy_Tail_x_Rave,7.14,"While on a mission to find and defeat a troublesome mage, several members of the Fairy Tail guild are split up in an unfamiliar town. At the same time, Haru, Elie, and the rest of their group are also separated. In a fortunate turn of events, Elie runs into Lucy and Happy, who are looking for Natsu. Meanwhile, Haru stumbles upon Natsu, who is struggling with motion sickness. Although she seems friendly, Elie matches the description of the troublemaker that the Fairy Tail members were assigned to locate. To make matters worse, Natsu learns of Haru's relationship with her and suspects them to be accomplices.

In this crossover between two popular series, Fairy Tail x Rave follows the two groups as they discover their similarities with each other. As the miscommunications add up, they are pitted against one another in a heated clash of powers, but will have to work together against a common foe.

[Written by MAL Rewrite]",1,"Aug 16, 2013",,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,Fate/Grand Order: Absolute Demonic Front - Babylonia Initium Iter,https://myanimelist.net/anime/40206/Fate_Grand_Order__Zettai_Majuu_Sensen_Babylonia_-_Initium_Iter,7.14,"The year 2010 AD. Romani Archaman has been posted to Chaldea. There, he becomes the primary doctor for a young girl. Mash Kyrielight, Chaldea's second successful summoning experiment, is interested in the word ""Senpai."" The interaction between the two gives Mash a reason to hope. That hope becomes a wave and starts to spread. That is your story, the story of a normal ""somebody."" The story at the beginning of a journey that weaves the future.

(Source: AniplexUS)",1,"Aug 4, 2019",,"['Action', 'Fantasy', 'Supernatural']"
