title_name,title_english,url,score_label,description,episodes,aired,premiered,genres
Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,Legend of the Galactic Heroes: Overture to a New War,https://myanimelist.net/anime/3016/Ginga_Eiyuu_Densetsu__Arata_naru_Tatakai_no_Overture,8.08,"Led by Reinhard von Müsel, the Galactic Empire crushes the Free Planets Alliance in the Fourth Battle of Tiamat. Arriving in the Imperial capital of Odin to a hero's welcome, Reinhard's victory earns him a promotion to High Admiral and the distinguished title of Count von Lohengramm. On the other side, Yang Wen-li safely returns to the Alliance capital of Heinessen without fanfare and reunites with his dear friends.

Reinhard and Yang look forward to a long-awaited reprieve. However, at the request of the scheming Duke Otho von Braunschweig, the Imperial High Command orders the new High Admiral to invade the Alliance with a fleet of twenty thousand ships. After the Duke leaks the plan to the Alliance government, three fleets totalling forty thousand ships are sent to counter the incoming attack and recreate the famous Battle of Dagon. But even though Reinhard is outnumbered two to one, he has an ingenious plan—and Yang sees right through it. Will Yang's superiors heed his warning before it is too late?

[Written by MAL Rewrite]",1,"Dec 18, 1993",,"['Action', 'Drama', 'Sci-Fi', 'Adult Cast', 'Military', 'Space']"
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,Gintama: Jump Festa 2005 Special,https://myanimelist.net/anime/2951/Gintama__Nanigoto_mo_Saisho_ga_Kanjin_nanode_Tashou_Senobisuru_Kurai_ga_Choudoyoi,8.08,"Due to the arrival of aliens called the ""Amanto,"" the samurai of feudal Japan have fallen into misery and despair. Denied their swords and stature, they are now treated as an object of pity and utter disregard while the Amanto mercilessly terrorizes the country.

To restore the reputation of the samurai, the Anti-Foreigner Faction leader Kotarou Katsura resolves to eradicate the Amanto—even if he must resort to violent methods. With a giant mecha at his disposal, he plans to initiate an attack against the Shinsengumi, an army of skillful samurai dedicated to protecting the peace of Edo.

Meanwhile, Yorozuya owner Gintoki Sakata and his friends are out to see the cherry blossoms. However, they are interrupted when the Shinsengumi show up, claiming Gintoki has stolen their spot for flower-viewing. Quickly spiraling into a frenzied quarrel, the two groups settle the fight through a game of rock-paper-scissors—albeit with rather brutal methods.

[Written by MAL Rewrite]",1,"Sep 24, 2005",,"['Action', 'Comedy', 'Sci-Fi', 'Historical', 'Mecha', 'Parody', 'Samurai', 'Shounen']"
Hidamari Sketch: Sae Hiro Sotsugyou-hen,Hidamari Sketch: Sae & Hiro Graduation,https://myanimelist.net/anime/17739/Hidamari_Sketch__Sae_Hiro_Sotsugyou-hen,8.08,The anime centers on the graduation of Sae and Hiro.,2,"Nov 27, 2013",,"['Slice of Life', 'CGDCT', 'Iyashikei', 'School', 'Visual Arts']"
Hikaru no Go,,https://myanimelist.net/anime/135/Hikaru_no_Go,8.08,"While searching through his grandfather's attic, Hikaru Shindou stumbles upon an old go board. Touching it, he is greeted by a mysterious voice, and soon after falls unconscious. When he regains his senses, he discovers that the voice is still present and belongs to Fujiwara no Sai, the spirit of an ancient go expert. A go instructor for the Japanese Emperor in the Heian Era, Sai's passion for the game transcends time and space, allowing him to continue playing his beloved game as a ghostly entity. Sai's ultimate goal is to master a divine go technique that no player has achieved so far, and he seeks to accomplish this by playing the board game through Hikaru.

Despite having no interest in board games, Hikaru reluctantly agrees to play, executing moves as instructed by Sai. However, when he encounters the young go prodigy Akira Touya, a passion for the game is slowly ignited within him. Inspired by his newfound rival, Hikaru's journey into the world of go is just beginning.

[Written by MAL Rewrite]",75,"Oct 10, 2001 to Mar 26, 2003",Fall 2001,"['Comedy', 'Drama', 'Supernatural', 'School', 'Strategy Game', 'Shounen']"
Skip Beat!,,https://myanimelist.net/anime/4722/Skip_Beat,8.08,"Day in and day out, Kyouko Mogami works multiple jobs to support her childhood friend, Shoutarou ""Shou"" Fuwa, in his rise to stardom as an idol. She never complains about her way of life, as she is deeply infatuated with Shou and would go to the ends of the world for him. However, her heart is broken when she overhears Shou talk about how he views her as nothing more than a maid he cares little for. 

Angered over being used, Kyouko flies into a rage and swears to get revenge on her former crush by entering the world of showbiz to surpass him. Joining the relentless and unforgiving entertainment industry proves to be a challenge, as she continuously meets people who force her out of her comfort zone. But for the sake of vengeance, Kyouko is determined to push herself and rise to the top.

[Written by MAL Rewrite]",25,"Oct 6, 2008 to Mar 30, 2009",Fall 2008,"['Comedy', 'Drama', 'Romance', 'Love Polygon', 'Showbiz', 'Shoujo']"
Spy x Family Season 2,,https://myanimelist.net/anime/53887/Spy_x_Family_Season_2,8.08,"With her ability to read minds, Anya Forger is the only one who knows the true identities of her unconventional family. Her pretend father Loid operates as an elite spy code-named Twilight; her mother Yor kills on demand as the assassin Thorn Princess; and their dog, Bond, possesses the gift of precognition. Although they hide the truth from each other, this pretense of a perfectly ordinary family provides Anya with the genuine love and warmth that she longed for as an orphan.

Operation Strix—Loid's special mission to avoid potential war by gathering vital information and getting close to the powerful political figure, Donovan Desmond—is only possible if Anya plays her part right. She can either excel academically and become an Imperial Scholar at her prestigious school or make friends with Donovan's son, Damian. Neither is exactly easy, but with her adventurous attitude, Anya throws herself wholeheartedly into her mission as a Forger—all for the sake of international peace.

[Written by MAL Rewrite]",12,"Oct 7, 2023 to Dec 23, 2023",Fall 2023,"['Action', 'Comedy', 'Childcare', 'Shounen']"
Yuusha-Ou GaoGaiGar Final,GaoGaiGar Final,https://myanimelist.net/anime/1382/Yuusha-Ou_GaoGaiGar_Final,8.08,"Following Gutsy Galaxy Guard's victory over the Zonder Empire and the 31 Primevals, a new threat makes their appearance on Earth. GGG—with Guy Shishio and the newly-constructed GaoFighGar—team up with their French counterpart Chasseur to battle the evil organization BioNet. Among Chasseur's ranks is Renais Cardiff Shishioh, a former BioNet cyborg with the relentless pursuit of destroying those who took away her humanity. But as GGG and Chasseur fight the BioNet, GGG's bases around the world are suddenly attacked, and the recently-discovered ""Q-Parts"" and the original Gao Machines are stolen by Mamoru Amami, who has been abducted and cloned by an even greater threat known as the ""Eleven Kings of Sol."" Evicted from Earth by the United Nations, GGG must now travel to the far reaches of the galaxy to battle the Eleven Kings of Sol and save Mamoru before it's too late.

(Source: ANN, edited)",8,"Jan 21, 2000 to Mar 21, 2003",,"['Adventure', 'Drama', 'Sci-Fi', 'Mecha', 'Super Power']"
Kanata no Astra,Astra Lost in Space,https://myanimelist.net/anime/39198/Kanata_no_Astra,8.08,"In the year 2063, space travel is feasible and commercially available. As the cheerful Aries Spring arrives at the spaceport to attend a camp on the distant planet McPa, her purse is suddenly snatched by a reckless thief. Luckily, the athletic Kanata Hoshijima is able to retrieve it for her, and Aries soon discovers that he is among the group of teenagers who will be traveling with her on the excursion as team B-5.

Upon arriving at their campsite, the group's trip takes a turn for the worse when a strange sphere of black light sucks them into the vast reaches of outer space. Stranded with seemingly no hope, they find an abandoned ship nearby that provides them with the means to return home. However, they soon discover that they are not as close to their campsite as they initially thought, but are in fact thousands of light-years away from home.

With this realization, the nine members must cautiously manage their resources, maintain their strength, and unite as one to conquer the darkness of space together. While the reason behind their trip's sudden obstruction remains unknown, they nevertheless embark on the treacherous voyage back home aboard their new ship, the Astra.

[Written by MAL Rewrite]",12,"Jul 3, 2019 to Sep 18, 2019",Summer 2019,"['Adventure', 'Award Winning', 'Mystery', 'Sci-Fi', 'Space', 'Survival', 'Shounen']"
Kidou Senshi Gundam 00 Second Season,Mobile Suit Gundam 00: Second Season,https://myanimelist.net/anime/3927/Kidou_Senshi_Gundam_00_Second_Season,8.08,"In the year 2311 AD, a world that once saw itself full of inter-continental conflict now stands unified, led by the Earth Sphere Federation (ESF). The ESF established a preventative military task force known as the A-Laws, tasking them with shutting down violent terrorist organizations. As they gain more and more legal authority, the A-Laws begin to twist the law to fit their own agenda, ruling the citizens of Earth with a heavy hand.

In response to the fascistic behavior of the A-Laws, the anti-terrorist group Celestial Being reappears. Led by state-of-the-art mobile suits known as Gundam, the pilots of Celestial Being wage a new war with the A-Laws, aiming to stop their tyrannical abuse of power.

Setsuna F. Seiei, pilot of the Gundam Exia, helps to lead the charge along with his fellow Gundam Meisters Lockon Stratos, Allelujah Haptism, and Tieria Erde. But in the process, Setsuna stumbles upon a conspiratorial plot spearheaded by a new faction, the Innovators, and must contend with his own old wounds and ghosts of the past in order to save a world that despises him.

[Written by MAL Rewrite]",25,"Oct 5, 2008 to Mar 29, 2009",Fall 2008,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Space']"
Kuroko no Basket Movie 4: Last Game,Kuroko's Basketball the Movie: Last Game,https://myanimelist.net/anime/31658/Kuroko_no_Basket_Movie_4__Last_Game,8.08,"Hailing from America, Jabberwock—a street basketball team with skills comparable to those of the NBA—has come to Japan to play an exhibition match against Strky, a team of former third-year students who once played in the Interhigh and Winter Cup. However, due to the vast difference in skill, Jabberwock easily wins. Their captain, Nash Gold Jr., mocks the basketball style of all players in Japan by comparing them to monkeys.

Infuriated by the nasty comment, Kagetora Aida challenges them to a revenge match. Because of pride and the belief that the results will be no different, Nash accepts the challenge. Kagetora then assembles Vorpal Swords, a team composed of the Generation of Miracles, including Kuroko Tetsuya and Kagami Taiga, for they are the only ones who stand a chance against a foe that seems unbeatable from every angle.

[Written by MAL Rewrite]",1,"Mar 18, 2017",,"['Sports', 'School', 'Team Sports', 'Shounen']"
Shokugeki no Souma: Ni no Sara,Food Wars! The Second Plate,https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara,8.08,"The qualifiers of the Autumn Elections are now over, and only eight talented chefs remain. Now, they face off in one-on-one food wars, each with their own unique themes. Met with both new judges and new opponents all with their own specialties, Souma must stay on his toes if he hopes to make it to the top of both the Autumn Elections and Tootsuki Culinary Academy.

[Written by MAL Rewrite]",13,"Jul 2, 2016 to Sep 24, 2016",Summer 2016,"['Gourmet', 'Ecchi', 'School', 'Shounen']"
Kimi wa Houkago Insomnia,Insomniacs After School,https://myanimelist.net/anime/50796/Kimi_wa_Houkago_Insomnia,8.07,"High schooler Ganta Nakami has trouble falling asleep most nights. As a result, he is irritable at school, always searching for an opportunity to find a secluded place to doze off. On the other hand, Isaki Magari is a free spirit who is well liked by her friends, but no one is aware of her sleep disorder. She makes use of the school's abandoned astronomy club observatory as her secret sleeping bunker when she needs to get some shut-eye. 

As fate would have it, Nakami finds Magari napping in the observatory. When Magari discovers that she and Nakami have something in common, she offers to share her secret sleeping spot with her fellow insomniac. As the two find warmth in each other's company, the struggles they face start to become easier to confront.

[Written by MAL Rewrite]",13,"Apr 11, 2023 to Jul 4, 2023",Spring 2023,"['Romance', 'School', 'Seinen']"
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,Ghost in the Shell: Stand Alone Complex - The Laughing Man,https://myanimelist.net/anime/2449/Koukaku_Kidoutai__Stand_Alone_Complex_-_The_Laughing_Man,8.07,"In 2024, the terrorist incident known as ""The Laughing Man Incident"" occurred in which Ernest Serano, president of the groundbreaking micromachine company, Serano Genomics, was kidnapped and ransomed. One day, the case having remained unsolved for six years, Detective Yamaguchi, who has been investigating ""The Laughing Man Incident,"" sends word that he wants to meet with Togusa from Public Safety Section 9. However, soon after sending this message, Yamaguchi, crucial to the success of the case, dies in an accident. Many days pass and in the midst of a police interview relay concerning suspicions behind interceptors, a forewarning is received from ""The Laughing Man"" of his next crime. The incorporeal hacker begins to move once again.

(Source: ANN)",1,"Sep 23, 2005",,"['Action', 'Mystery', 'Sci-Fi', 'Adult Cast', 'Detective', 'Mecha', 'Psychological', 'Seinen']"
No Game No Life,"No Game, No Life",https://myanimelist.net/anime/19815/No_Game_No_Life,8.07,"Sixteen sentient races inhabit Disboard, a world overseen by Tet, the One True God. The lowest of the sixteen—Imanity—consists of humans, a race with no affinity for magic. In a place where everything is decided through simple games, humankind seems to have no way out of their predicament—but the arrival of two outsiders poses a change.

On Earth, stepsiblings Sora and Shiro are two inseparable shut-ins who dominate various online games under the username ""Blank."" While notorious on the internet, the pair believe that life is merely another dull game. However, after responding to a message from an unknown user, they are suddenly transported to Disboard. The mysterious sender turns out to be Tet, who informs them about the world's absolute rules. After Tet leaves, Sora and Shiro begin their search for more information and a place to stay, taking them to Elkia—Imanity's only remaining kingdom.

There, the duo encounters Stephanie Dola, an emotional girl vying for the kingdom's sovereignty. In desperation, she attempts to regain her father's throne, but her foolhardiness makes her goal unachievable. Inspired by the girl's motivation and passion, Sora and Shiro decide to aid Stephanie in getting Elkia back on its feet, ultimately aiming to become the new rulers of the enigmatic realm.

[Written by MAL Rewrite]",12,"Apr 9, 2014 to Jun 25, 2014",Spring 2014,"['Comedy', 'Fantasy', 'Ecchi', 'Isekai', 'Strategy Game']"
One Piece Film: Strong World,,https://myanimelist.net/anime/4155/One_Piece_Film__Strong_World,8.07,"Upon hearing news that islands in East Blue are being destroyed, Monkey D. Luffy and his crew go to investigate. On their way, however, an outlandish pirate ship appears out of the sky, helmed by the infamous pirate Shiki ""the Golden Lion""—a man who ate the Float-Float Fruit and the first ever prisoner to escape from Impel Down. In his quest to defeat the World Government, Shiki kidnaps Nami to be his own navigator and sends the rest of the Straw Hat Pirates to his floating islands as hostages, leaving her in a dilemma. Separated in a land under Shiki's absolute control, Luffy and his crew must survive the mystifying terrain in order to bring back their navigator and friend.

[Written by MAL Rewrite]",1,"Dec 12, 2009",,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
Sakura-sou no Pet na Kanojo,The Pet Girl of Sakurasou,https://myanimelist.net/anime/13759/Sakura-sou_no_Pet_na_Kanojo,8.07,"At Suimei High, the Sakura-sou dormitory is infamous for housing the school's most notorious delinquents. Thus, when the relatively tame Sorata Kanda is transferred to the dorm, escaping this insane asylum becomes his foremost goal. Trapped there for the time being, he must learn how to deal with his fellow residents, including bubbly animator Misaki Kamiigusa, charming playboy writer Jin Mitaka, and the ever-reclusive Ryuunosuke Akasaka. Surrounded by weirdness, Sorata frequently finds respite in his interactions with his one ""normal"" friend, aspiring voice actress Nanami Aoyama.

When Mashiro Shiina—a new foreign exchange student—joins the dormitory, Sorata is instantly enraptured by her beauty. Underneath her otherworldly appearance, Mashiro is an autistic savant, capable of world-renowned brilliance in her art, yet unable to perform simple daily tasks. After Sorata ends up in charge of taking care of Mashiro, the two inevitably grow closer, with Sorata's initial desire to escape the dormitory becoming a forgotten goal.

Despite their eccentricities, every resident is incredible in their own field, leaving Sorata to contend with his own lack of any particular skill. With brilliance all around him, he thus strives to become an equal to their talent. Revolving around the hardships and joys of its colorful cast, Sakura-sou no Pet na Kanojo is a heartwarming coming-of-age tale of friendship, love, ambition, and heartbreak—through the lens of an ordinary person surrounded by the extraordinary.

[Written by MAL Rewrite]",24,"Oct 9, 2012 to Mar 26, 2013",Fall 2012,"['Drama', 'Romance', 'School', 'Visual Arts']"
Gintama: Dai Hanseikai,,https://myanimelist.net/anime/10643/Gintama__Dai_Hanseikai,8.07,"Some of the characters get together and talk about ""regrets"" they have after 4 years of anime Gintama. Soon they fight over who gets more screen time. Special animation shown at the Gintama Haru Matsuri 2010 live event.",1,"Mar 25, 2010",,"['Action', 'Comedy', 'Parody', 'Samurai', 'Shounen']"
