title_name,title_english,url,score_label,description,episodes,aired,premiered,genres
Arashi no Yoru ni: Himitsu no Tomodachi,,https://myanimelist.net/anime/13029/Arashi_no_Yoru_ni__Himitsu_no_Tomodachi,6.62,"A new anime adaptation by Sparky Animation, Duckbill Entertainment, Baku Enterprise and Bandai Visual of the book Arashi no Yoru ni (One Stormy Night...) by Kimura Yuuichi.",26,"Apr 4, 2012 to Sep 26, 2012",Spring 2012,"['Adventure', 'Drama', 'Anthropomorphic']"
Bananya: Fushigi na Nakama-tachi,Bananya and the Curious Bunch,https://myanimelist.net/anime/40228/Bananya__Fushigi_na_Nakama-tachi,6.62,"On a little planet live little creatures called ""Bananyas."" Come watch their daily lifes full of adventures and discoveries.",13,"Oct 1, 2019 to Dec 24, 2019",Fall 2019,"['Slice of Life', 'Anthropomorphic', 'Kids']"
Bastard!! Ankoku no Hakaishin (ONA),"Bastard‼ Heavy Metal, Dark Fantasy",https://myanimelist.net/anime/50953/Bastard_Ankoku_no_Hakaishin_ONA,6.62,"The kingdom of Metallicana is under attack from the Four Lords of Havoc. This party of villains—ninja master Gara, deadly thunder empress Nei Arshes, cold and calculating Kall-Su, and enigmatic dark priest Abigail—will stop at nothing to get what they want, even if it leaves utter destruction in their wake.

High Priest Geo is desperate to help save the kingdom and its people. He unleashes the mighty wizard Dark Schneider, a man who used to be an ally of the villains. Unfortunately, Dark Schneider has his own plans in mind. Will he stop the Four Lords of Havoc or join them in their conquest of the world?

[Written by MAL Rewrite]",13,"Jun 30, 2022",,"['Action', 'Adventure', 'Fantasy', 'Ecchi', 'Gore', 'Seinen']"
Beyblade Burst Sparking,Beyblade Burst Surge,https://myanimelist.net/anime/41439/Beyblade_Burst_Sparking,6.62,"One year after the events of Beyblade Burst GT, brothers Hikaru, and Hyuga witness the power of Superking/Sparking evolutions of Valkyrie, Ragnaruk, and Satan. The three beys radiate a power that was not even dreamable, due to their bladers pulling off a sparking launch. Hyuga and Hikaru get inspired to make their own sparking beys, Hyperion and Helios, and compete with the legendary bladers, training to best the top ranked bladers to ever touch the stadium.

Prepared to do whatever it takes to become the best, they head across the globe to challenge the best to ever let it rip, in an effort to become stronger, and battle all of the top bladers that were able to make their mark in the stadium.

(Source: Wikipedia)",52,"Apr 3, 2020 to Mar 19, 2021",,"['Action', 'Adventure', 'Sci-Fi', 'Sports', 'Kids']"
Choujuushin Gravion Zwei,Super Heavy God Gravion Zwei,https://myanimelist.net/anime/1149/Choujuushin_Gravion_Zwei,6.62,"After Gravion was able to use its ultimate attack, the Zeravire threat seemed to have temporary stopped. However when it rises back up all of a sudden, the Earth Gult and its trump card, the super robot Gravion, is needed to defend this world again. All this while, the EFA is planning to create their own weapons to counter the Zeravire, the Grand Trooper. Now as they attempt to fend off the Zeravire, the people of the Earth Gult and EFA must protect their future as well as confront their pasts, and unveil the mysteries of the Zeravire.

(Source: ANN)",12,"Jan 9, 2004 to Mar 26, 2004",Winter 2004,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Mecha']"
Chousoku Spinner,Super YoYo,https://myanimelist.net/anime/2703/Chousoku_Spinner,6.62,"Despite being talented in various sports, Shunichi Domoto is not passionate about any of them in particular—that is, until he discovers the world of competitive yo-yo.

It all begins when Shunichi's friend, Beso Kimura, loses his yo-yo in a duel against the school bully, Benkei Musashimaru. Albeit inexperienced, Shunichi eventually agrees to help Beso retrieve his yo-yo. After practicing for three days, Shunichi challenges and unexpectedly defeats the relatively skilled Benkei. 

Shunichi's win instills the belief that the yo-yo is easy to master, and that he is ultimately able to easily master anything he puts his mind to. However, after losing to the exceptionally gifted yo-yo player Seito Hojoin, Shinichi finds his ego shattered. As the humiliating loss ignites a spark in Shunichi, he decides to surpass Seito in Japan's national Yo-yo Championship!

[Written by MAL Rewrite]",22,"Nov 30, 1998 to Sep 10, 1999",Fall 1998,"['Sports', 'Shounen']"
Cinderella Girls Gekijou 2nd Season,,https://myanimelist.net/anime/35883/Cinderella_Girls_Gekijou_2nd_Season,6.62,The second season of Cinderella Girls Gekijou.,13,"Oct 3, 2017 to Dec 26, 2017",Fall 2017,"['Comedy', 'Slice of Life', 'Idols (Female)']"
Cocolors,,https://myanimelist.net/anime/34167/Cocolors,6.63,"There is a world in which an endless rain of dark ash fills the sky, and covers the earth. Humanity, fearing the ash that burns and melts away human flesh, had no choice but to cover themselves in protective suits, and their faces with gigantic masks. Bundled up in their suits and hidden away behind their masks, the people have fled deep within the underground. This is the story of the children growing up in this fearful world.

(Source: Official site)",1,"May 5, 2017",,['Sci-Fi']
Coyote Ragtime Show,,https://myanimelist.net/anime/1194/Coyote_Ragtime_Show,6.62,"Mister is a ""coyote"" or space faring outlaw who has been sitting in prison for a year for a traffic offense. Ten days from release, he breaks out with the help of his old partners Bishop and Katana. He then seeks out Franka who has been left in his care by her dead father and takes her on a journey to find her father's treasure. On their heels are the federal investigators Angelica and Chelsea as well as the android assassins of the Criminal Guild, Madame Marciano's Twelve Sisters.

(Source: ANN)",12,"Jul 4, 2006 to Sep 19, 2006",Summer 2006,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Mecha']"
Dan Doh!!,,https://myanimelist.net/anime/234/Dan_Doh,6.62,"Dandoh was playing a baseball game with friends Yuka and Kohei and hits a wild fly ball which crashes into the principal's potted plants. Rather than getting mad, the principal admires Dandoh's swing and introduces him to the world of golf. It's now an adventure in golf as Dandoh is under the watchful eye of a former pro-golfer. They enter a tournament together and play for a shot at the national championships.

(Source: ANN)",26,"Apr 3, 2004 to Sep 25, 2004",Spring 2004,"['Adventure', 'Sports', 'Shounen']"
