title_name,title_english,url,score_label,description,episodes,aired,premiered,genres
Digimon Adventure:,,https://myanimelist.net/anime/41074/Digimon_Adventure_,6.44,"In the year 2020, technology is everywhere. Every digital device around the world is connected by a singular network where data travels. Unbeknownst to humans, this network has become home to life forms known as ""Digimon.""

Fifth-grader Taichi Yagami is preparing for summer camp when strange occurrences begin in Tokyo; certain electronic systems have started going haywire. When he discovers that his sister and mother are trapped on an unstoppable train, he rushes to the nearby station. Suddenly, Taichi is transported to another world where he meets a strange creature by the name of Agumon, who somehow already knows his name. Taichi also receives a strange device called a ""Digivice,"" which allows him to communicate with the undigitized world.

Taichi discovers he is in the ""Network,"" and virus-like Digimon are attacking the areas that maintain Tokyo’s electronic systems. It is up to Taichi and his new partner Agumon to stop these cyberattacks before the whole world is threatened by the actions of mischievous Digimon.

[Written by MAL Rewrite]",67,"Apr 5, 2020 to Sep 26, 2021",Spring 2020,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Kids']"
Dorami & Doraemons: Space Land's Critical Event,,https://myanimelist.net/anime/2645/Dorami___Doraemons__Space_Lands_Critical_Event,6.44,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1,"Mar 10, 2001",,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Kids', 'Shounen']"
Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito,Dragon Quest Great Adventure of Dai! Disciple of Aban.,https://myanimelist.net/anime/7436/Dragon_Quest__Dai_no_Daibouken_Tachiagare_Aban_no_Shito,6.44,The second Dragon Quest Dai no Daibouken movie. The story takes place between episode 18 and 19 of the TV series.,1,"Mar 7, 1992",,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
Gal to Kyouryuu,Gal & Dino,https://myanimelist.net/anime/40358/Gal_to_Kyouryuu,6.44,"Wasted from the night before, Kaede wakes up the next morning to find herself at home with a dinosaur she had brought along with her. The two start living together as an odd pair consisting of a typical gal girl and a mute dinosaur going about daily lives. Although not the most experienced paleontologist, Kaede begins to learn more about her new prehistoric roommate through a series of comedic gags and adventures.

[Written by MAL Rewrite]",12,"Apr 5, 2020 to Dec 20, 2020",Spring 2020,"['Comedy', 'Slice of Life', 'Seinen']"
Gekiganger 3: The Movie,Gekiganger 3,https://myanimelist.net/anime/2067/Gekiganger_3__The_Movie,6.44,"Ken, Joe, and Akira, three high school students, must combine their three mecha into Gekiganger III to defeat the evil Prince Akara and Emperor Hyperion. The OAV is a compilation of the scenes from Nadesico, a new ""movie"", and is a parody of many mecha series from the 80s. 

(Source: ANN)",1,"Feb 21, 1998",,"['Action', 'Comedy', 'Sci-Fi', 'Mecha', 'Parody', 'Shounen']"
Geobreeders: File-X Chibi Neko Dakkan,Geobreeders: (File-X) Get Back The Kitty,https://myanimelist.net/anime/1158/Geobreeders__File-X_Chibi_Neko_Dakkan,6.44,"Taba and the Girls of Kagura Total Security Inc. specialize in jobs where their enemy are ""Phantom Cats"". They have a few run ins with the various Government agencies, as well as a gang of Phantom Cats; blowing up a lot of stuff along the way. When one of their own is kidnapped, they have to get her back.

(Source: ANN)",3,"May 21, 1998 to Oct 21, 1998",,"['Adventure', 'Comedy', 'Supernatural', 'Seinen']"
Go! Go! Itsutsugo Land,,https://myanimelist.net/anime/3776/Go_Go_Itsutsugo_Land,6.44,"The series is about five quintuplets, Kabuto, Hinoki, Arashi, Kinoko and Kodama Morino, who have all kinds of adventures together. Each has their own talent and personality.",50,"Apr 14, 2001 to Mar 30, 2002",Spring 2001,['School']
Godzilla 1: Kaijuu Wakusei,Godzilla: Planet of the Monsters,https://myanimelist.net/anime/33783/Godzilla_1__Kaijuu_Wakusei,6.44,"Twenty thousand years after the fall of humanity, Earth succumbed to legions of ravenous creatures who now freely roam the planet. Far away in the depths of space, the last surviving members of humanity float aimlessly in the same ship they escaped Earth with so many years ago. With the spacecraft running dangerously low on resources, the survivors' leading council must decide on their path forward: should they continue to gamble on finding another Earth-like planet to inhabit, or take to heart an anonymous essay theorizing what may be the only weakness of the ""Godzilla,"" who forced the last remnants of humanity off their home world?

The author of the controversial essay is Haruo Sakaki, a man who witnessed the death of his parents to Godzilla at a young age, which has led him to harbor an obsessive hatred for the monster. Now, he spearheads the operation aimed at reclaiming humanity's birthright from the king of monsters and slaying him once and for all. But, alongside humanity, Earth has undergone drastic change since their departure; Godzilla and its numerous spawns may pale in comparison to the darkness lurking within the hearts of this close-knit community of survivors.

[Written by MAL Rewrite]",1,"Nov 17, 2017",,"['Action', 'Adventure', 'Sci-Fi']"
Hareluya II Boy,,https://myanimelist.net/anime/4211/Hareluya_II_Boy,6.44,"Hareluya Hibino has one ambition in life: to conquer the entire world! Despite his tough exterior, he's not a bad person, and when push comes to shove, he'll do his best to help those in need. Together with aspiring painter Kiyoshiro, Hareluya will take on whatever curveballs life may throw his way.

(Source: Sentai Filmworks)",25,"Apr 8, 1997 to Sep 30, 1997",Spring 1997,"['Action', 'Comedy', 'Fantasy', 'Delinquents', 'School', 'Shounen']"
Hitorigurashi no Shougakusei,,https://myanimelist.net/anime/35235/Hitorigurashi_no_Shougakusei,6.44,"Rin Suzune is a nine-year-old girl who, due to her parents' deaths, lives alone and runs her family's restaurant by herself. Since she is a child, she lacks the proper knowledge to cook good food and manage a business, so her attempts to make money are unsuccessful. To make matters worse, she is bullied in school for being poor! But through it all, Rin remains resilient. Although her restaurant's food is not the greatest, local residents are drawn to the establishment, hoping to lend Rin a hand because of her sincere nature.

[Written by MAL Rewrite]",10,"Oct 10, 2017 to Dec 12, 2017",,"['Comedy', 'Gourmet', 'Slice of Life']"
