title_name,title_english,url,score_label,description,episodes,aired,premiered,genres
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,"Ranma ½: Big Trouble in Nekonron, China",https://myanimelist.net/anime/418/Ranma_½__Chuugoku_Nekonron_Daikessen_Okite_Yaburi_no_Gekitou-hen,7.23,"All is well at the Tendo residence when from out of nowhere, a Chinese girl named Lychee appears, seeking revenge on Happosai for a broken promise made since her birth. Things get worse when Kirin and the Seven Lucky Gods appear and abduct Akane to take as his wife. Ranma and the gang must travel to Nekonron, China, and save Akane from getting married to Kirin. 

(Source: ANN)",1,"Nov 2, 1991",,"['Adventure', 'Comedy', 'Magical Sex Shift', 'Shounen']"
Robot Carnival,,https://myanimelist.net/anime/2182/Robot_Carnival,7.23,"9 of Japan's leading animators were asked to create a short segment that followed the theme of ""Robots,"" for their inclusion in this film. Essentially, this ""movie"" is 9 short films, all independant of one another. The common element is human interaction with robots, namely the consequences of creating life with one's own hands, played in nine very different ways.

(Source: ANN)

1: Opening (Atsuko Fukushima and Katsuhiro Otomo)
2: Franken's Gears (Koji Morimoto)
3: Deprive (Hidetoshi Omori)
4: Presence (Yasuomi Umetsu)
5: Star Light Angel (Hiroyuki Kitazume)
6: Cloud (Mao Lamdo)
7: A Tale of Two Robots (Hiroyuki Kitakubo)
8: Nightmare (Takashi Nakamura)
9: Ending (Atsuko Fukushima and Katsuhiro Otomo)",1,"Jul 21, 1987",,"['Fantasy', 'Sci-Fi', 'Mecha']"
RPG Densetsu Hepoi,,https://myanimelist.net/anime/9061/RPG_Densetsu_Hepoi,7.23,"The adventure of Hepoi, a hero of heporis, Ryuuto, the prince of Dragonia, Miiya Miiya a fairy looks like a cat, and Bunzaemon, a merchant, to defeat Dracunes, the King of dark side castles.",50,"Oct 6, 1990 to Sep 28, 1991",Fall 1990,"['Adventure', 'Fantasy']"
Shaman King Specials,,https://myanimelist.net/anime/3861/Shaman_King_Specials,7.23,"Throughout the broadcast of Shaman King, many shorts (usually referred to as Shaman King omake and TV specials) were made on special days of the year related to spirits and the like. The omake were short stories that were made for humorous effect. Apparently, all of the omake fit into the story before the Shaman Fight 2nd round. Documents of the Shaman Fight was shown with a New Year's omake as well. The TV Specials were aired after specific points of the story as well as on holidays. The specials were never dubbed in English, and, most likely, never will be. 

(Source: Wikipedia)",5,"Jan 2, 2002 to Jul 24, 2003",,"['Action', 'Adventure', 'Supernatural', 'Super Power', 'Shounen']"
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,https://myanimelist.net/anime/29786/Shimoneta_to_Iu_Gainen_ga_Sonzai_Shinai_Taikutsu_na_Sekai,7.23,"With the introduction of strict new morality laws, Japan has become a nation cleansed of all that is obscene and impure. By monitoring citizens using special devices worn around their necks, authorities have taken extreme measures to ensure that society remains chaste. 

In this world of sexual suppression, Tanukichi Okuma—son of an infamous terrorist who opposed the chastity laws—has just entered high school, offering his help to the student council in order to get close to president Anna Nishikinomiya, his childhood friend and crush. Little does he know that the vice president Ayame Kajou has a secret identity: Blue Snow, a masked criminal dedicated to spreading lewd material amongst the sheltered public—and Tanukichi has caught the girl's interest due to his father's notoriety.

Soon, Tanukichi is dragged into joining her organization called SOX, where he is forced to spread obscene propaganda, helping to launch an assault against the government's oppressive rule. With their school set as the first point of attack, Tanukichi will have to do the unthinkable when he realizes that their primary target is the person he admires most.

[Written by MAL Rewrite]",12,"Jul 4, 2015 to Sep 19, 2015",Summer 2015,"['Comedy', 'Ecchi', 'Gag Humor', 'School']"
Abenobashi Mahou☆Shoutengai,Magical☆Shopping Arcade Abenobashi,https://myanimelist.net/anime/306/Abenobashi_Mahou☆Shoutengai,7.23,"Satoshi ""Sasshi"" Imamiya believes his life is in shambles, as only a 12-year-old can. Having lost his card collection, his childish dilemmas worsen when he learns that his childhood friend, Arumi Asahina, will be moving away.

Suddenly, their issues are dashed aside for the surreal, and they find themselves transported away through bizarre worlds of science fiction, magic, and war. Any attempt to escape only catapults them into another alien land. Soon, the two come to a realization: every world is just a reimagining of their hometown. But there are two unfamiliar faces—the voluptuous Mune-mune and the elusive blue-haired Eutus—and they just might be the key to escaping their predicament.

Abenobashi Mahou☆Shoutengai follows Sasshi and Arumi's comedic exploits as they desperately attempt to return home. However, when the pair unravel a tale spanning generations, they begin to wonder if the cause of their situation is more personal than they thought. Is returning home truly what they desire?

[Written by MAL Rewrite]",13,"Apr 4, 2002 to Jun 27, 2002",Spring 2002,"['Award Winning', 'Comedy', 'Fantasy', 'Ecchi', 'Isekai', 'Parody']"
Aikatsu Friends!,,https://myanimelist.net/anime/37204/Aikatsu_Friends,7.23,"Aine Yuuki, who is a regular student at Star Harmony Academy's normal division, meets Mio Minato from the idol division, who invites her to join Aikatsu to fulfill Aine's goal to make friends. She also befriends Maika Chōno and Ema Hinata who are also idols. Aine and Mio form a pair to become best friends to become the bright ""Diamond Friends"". Karen Kamishiro and Mirai Asuku are categorized as ""Diamond Friends"" and are in the Diamond Class!

(Source: Wikipedia)",50,"Apr 5, 2018 to Mar 28, 2019",Spring 2018,"['Slice of Life', 'Idols (Female)', 'Music', 'School']"
Bai Yao Pu 2nd Season,Fairies Albums 2,https://myanimelist.net/anime/44067/Bai_Yao_Pu_2nd_Season,7.23,Second season of Bai Yao Pu.,12,"Jul 18, 2021 to Sep 26, 2021",,"['Adventure', 'Fantasy', 'Mystery', 'Supernatural', 'Historical']"
Beelzebub-jou no Okinimesu mama.,As Miss Beelzebub Likes.,https://myanimelist.net/anime/37716/Beelzebub-jou_no_Okinimesu_mama,7.23,"According to legend, Beelzebub, one of the seven princes of Hell, betrayed God and was banished from Heaven for eternity. Beelzebub now leads the kingdom of Pandemonium, where all former angels roam and work every single day of their immortal lives. A devil like him would give people chills at the mere mention of his name.

But what if Beelzebub is not as evil as initially thought? What if he was obsessed with fluffy things? And what if Beelzebub is actually a woman? 

That is what new assistant Myurin discovers when he is hired to serve Her Majesty Beelzebub. She may know exactly what to do to keep Pandemonium running like clockwork, but whenever she leaves the professionalism of the office, the girl needs some assistance in order to function like a normal... devil. As much as Myurin can't stand being unprofessional, he is secretly obsessed with her adorable antics, and his new job teaches him that everything is not exactly what it seems, especially with the other head devils of Pandemonium.

[Written by MAL Rewrite]",12,"Oct 11, 2018 to Dec 27, 2018",Fall 2018,"['Comedy', 'Fantasy', 'Romance', 'Mythology', 'Workplace', 'Shounen']"
Boku no Hero Academia: Sukue! Kyuujo Kunren!,My Hero Academia: Rescue! Rescue Training,https://myanimelist.net/anime/33929/Boku_no_Hero_Academia__Sukue_Kyuujo_Kunren,7.23,"UA High School must regain the public's confidence after the surprise villain attack during class 1-A's training session. Although some of the teachers were gravely injured in the attack, Izuku ""Deku"" Midoriya and his classmates must continue to learn and train, and utilize their quirks in varying environments and circumstances. 

Boku no Hero Academia: Sukue! Kyuujo Kunren! follows class 1-A as they attempt to finally complete their training. However, there's a masked figure roaming around the training center. Have the villains responsible for the previous incident returned to finish the job? If so, are the students ready to fight back?

[Written by MAL Rewrite]",1,"Apr 4, 2017",,"['Action', 'School', 'Super Power', 'Shounen']"
