title_name,title_english,url,score_label,description,episodes,aired,premiered,genres
Wan Sheng Jie 3,All Saints Street 3,https://myanimelist.net/anime/49587/Wan_Sheng_Jie_3,7.78,Third season of Wan Sheng Jie.,12,"Jan 26, 2022 to Apr 6, 2022",,"['Comedy', 'Fantasy', 'Mythology']"
Kekkai Sensen & Beyond,Blood Blockade Battlefront & Beyond,https://myanimelist.net/anime/34451/Kekkai_Sensen___Beyond,7.78,"Three years ago, a gateway between Earth and the Beyond opened in New York City, trapping extradimensional creatures and humans alike in an impermeable bubble. After the city's restoration, monsters, magic, and madness are common findings in the area now known as Hellsalem's Lot. Leonardo Watch, a young photographer who unwillingly obtained the ""All-seeing Eyes of the Gods"" in exchange for his sister's eyesight, came to this paranormal city to find answers to the mysterious power that he possesses. He later finds his life drastically changed when he joins Libra, a secret organization of people with supernatural abilities dedicated to maintaining order in the everyday chaos of Hellsalem's Lot. 

However, this is only the beginning of Leonardo's unexpected journey ahead. Regardless of the constant threat of otherworldly enemies, he is determined to uncover the secrets of his power and find a way to restore his sister's eyesight. Kekkai Sensen & Beyond follows Leonardo as he sets off on more crazy adventures with his comrades, fighting to ensure peace and order.

[Written by MAL Rewrite]",12,"Oct 8, 2017 to Dec 24, 2017",Fall 2017,"['Action', 'Fantasy', 'Super Power', 'Vampire', 'Shounen']"
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,https://myanimelist.net/anime/3545/Kochira_Katsushikaku_Kameari_Kouenmae_Hashutsujo,7.78,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.",373,"Jun 16, 1996 to Dec 19, 2004",Summer 1996,"['Comedy', 'Adult Cast', 'Detective', 'Gag Humor', 'Shounen']"
Macross F Movie 1: Itsuwari no Utahime,Macross Frontier: The False Songstress,https://myanimelist.net/anime/5310/Macross_F_Movie_1__Itsuwari_no_Utahime,7.78,"Half retelling of the original Frontier series, half new story. Conspiracies arise within the Frontier government when Sheryl Nome arrives to the colonial fleet for her concert and is soon marked as a spy for Galaxy while childhood friends, Alto Saotome and Ranka Lee both try to achieve their dreams as the battle between Frontier and the Vajra draws closer.

This movie serves as part one of the Frontier retelling and will conclude with the second, The Wings of Goodbye.",1,"Nov 21, 2009",,"['Action', 'Romance', 'Sci-Fi', 'Mecha', 'Military', 'Music', 'Space']"
Meitantei Conan Movie 12: Senritsu no Full Score,Detective Conan Movie 12: Full Score of Fear,https://myanimelist.net/anime/4447/Meitantei_Conan_Movie_12__Senritsu_no_Full_Score,7.78,"Serial murders involving all kinds have happened. All the victims are from a Music School led by a famous pianist. Conan and company have been invited to a opening concert of the Music Hall built by the pianist. The biggest attraction of this concert is the world famous violin called ""Stradivarius"" and a special appearance of a singer who has perfect pitch. 

(Source: ANN)",1,"Apr 19, 2008",,"['Adventure', 'Comedy', 'Mystery', 'Detective', 'Shounen']"
Mind Game,,https://myanimelist.net/anime/875/Mind_Game,7.78,"After seeing her jump onto a subway at the last second and getting her ankle crushed between the doors, Nishi reconnects with his high school sweetheart, Myon. Nishi is still very much in love with Myon, but is shocked to learn that she is engaged to another man. Nishi agrees to meet Myon's fiancé at her family's Yakitori restaurant, but members of the Yakuza storm the joint and murder Nishi when he tries to stop them from raping Myon.

Nishi, now dead, wakes up and meets a constantly shapeshifting god, who mocks him for dying. The god tells Nishi to walk into a portal and disappear from existence, which Nishi rejects, choosing instead to sprint past the god and reanimate. With a new outlook on life and knowledge of how the Yakuza are going to attack him, Nishi kills one of the Yakuza with his own gun, fleeing in a stolen car with Myon and her sister.

Acclaimed director Masaaki Yuasa's debut film, Mind Game's constantly shifting visuals tell a story about living one's life without regrets that is unlike any other.

[Written by MAL Rewrite]",1,"Aug 7, 2004",,"['Adventure', 'Avant Garde', 'Award Winning', 'Comedy', 'Romance', 'Adult Cast', 'Psychological']"
Princess Connect! Re:Dive Season 2,,https://myanimelist.net/anime/42670/Princess_Connect_Re_Dive_Season_2,7.78,"The members of the Gourmet Guild—Yuuki, Kokkoro, Pecorine, and Karyl—continue to scour the world in pursuit of their goal to seek out all delicious food in existence. However, as their adventures progress, the mysteries behind Yuuki's memories, Karyl's allegiance, and Pecorine's heritage begin to come together—seemingly forming the truth that makes up the world's very foundation.

[Written by MAL Rewrite]",12,"Jan 11, 2022 to Mar 29, 2022",Winter 2022,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']"
Seitokai Yakuindomo Movie 2,,https://myanimelist.net/anime/40814/Seitokai_Yakuindomo_Movie_2,7.78,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1,"Jan 1, 2021",,"['Comedy', 'Gag Humor', 'School', 'Shounen']"
Shin Kidou Senki Gundam Wing: Endless Waltz Special,Mobile Suit Gundam Wing: Endless Waltz,https://myanimelist.net/anime/2273/Shin_Kidou_Senki_Gundam_Wing__Endless_Waltz_Special,7.78,"It is A.C. 196—one year after the conflict between Earth and its nearby space colonies ended with the formation of the Earth Sphere Unified Nation. As mankind enters a new era of unity and prosperity, four of the five Gundam pilots decide to follow in society's footsteps and disarm by launching their mobile suits into the sun. However, their plan is unexpectedly suspended when a rebellion erupts with the emergence of Mariemaia Khushrenada—who claims to be the child of fallen dictator Treize and desires to conquer the world in his stead.

Deciding that they are the last line of defense for the Earth Sphere, Heero Yuy, Trowa Barton, Duo Maxwell, and Quatre Raberba Winner scramble to retrieve their Gundams and fight to protect the peace the people of the colonies have pursued for so long. Despite their unwavering resolve to complete one final mission, the battle will be challenging: the pilots' former ally Wufei Chang has pledged his allegiance to Mariemaia's cause instead.

[Written by MAL Rewrite]",1,"Aug 1, 1998",,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Space']"
Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),The Garden of Sinners Chapter 2: A Study in Murder - Part 1,https://myanimelist.net/anime/3782/Kara_no_Kyoukai_Movie_2__Satsujin_Kousatsu_Zen,7.77,"In the winter of 1995, Mikiya Kokutou passes a young woman during a late night stroll in the snow. Clad in a striking white kimono and bearing an enigmatic gaze, Shiki Ryougi smiles at Mikiya who stares back with curiosity. Later that spring, Mikiya notices Shiki at his high school entrance ceremony, and they become acquaintances through lunchtime conversations. As Shiki begins opening up to him, Mikiya learns about her unique upbringing.

Meanwhile, a series of unprecedented murders takes place across Mifune City. Seemingly related, these murders are particularly brutal and warrant a large scale police investigation. Because of his cousin's work as a police investigator, Mikiya is given insight into the investigation. Concerned for Shiki's safety, Mikiya decides to monitor her actions, but in doing so, he stumbles upon a truly frightening discovery that changes his life forever.

[Written by MAL Rewrite]",1,"Dec 29, 2007",,"['Action', 'Mystery', 'Romance', 'Supernatural', 'Suspense']"
